Brand,Usage_Type,CPU_Brand,GPU_Brand,GPU_Model,CPU_Cores,CPU_Frequency_GHz,RAM_GB,Storage_GB,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio,Screen_Size,Perf_Per_Core,RAM_Storage_Ratio,GPU_Weight,CPU_Cores_scaled,CPU_Frequency_GHz_scaled,RAM_GB_scaled,Storage_GB_scaled,CPU_Performance_Score_scaled,GPU_Performance_Score_scaled,Overall_Performance_Score_scaled,Price_USD_scaled,Price_Performance_Ratio_scaled,Perf_Per_Core_scaled,RAM_Storage_Ratio_scaled,GPU_Weight_scaled,Cluster
Dell,Professional,Apple,AMD,RTX 3060,4,2.6,32,128,1448,2200,3648,2520.98,1.45,15.0,912.0,25.0,0.603,-0.8422441294224655,0.11071344531052418,0.3329330666816741,-0.9552462524143086,-0.7689852904570444,-0.12712781331217615,-0.7542679152775814,-0.8155802818761638,-0.22514237786362107,0.19124639939881946,1.6088914514901205,0.6593539338875781,1
Dell,Professional,Intel,NVIDIA,RTX 3050,12,2.61,32,256,2904,1500,4404,2928.1,1.5,16.0,367.0,12.5,0.341,0.8301522201387667,0.12228575188714703,0.3329330666816741,-0.7717126370392299,-0.05054928456936085,-0.9033617823255091,-0.4134449080079415,-0.4770619990064476,0.09363866316610703,-1.1030933454016336,0.46220673441878934,-0.7158732008543003,0
Asus,Professional,Intel,AMD,RX 6700,4,3.66,4,1024,1748,2800,4548,3145.25,1.45,14.0,1137.0,0.39,0.616,-0.8422441294224655,1.337377942432573,-0.9549434118944388,0.3294890552112423,-0.6209558936395272,0.5382155886992521,-0.3485262399565815,-0.2965028392374386,-0.22514237786362107,0.725606844499924,-0.6487014194799162,0.7275903947717172,1
Dell,Professional,Apple,AMD,RX 6700,2,1.31,8,128,1019,2800,3819,2574.11,1.48,15.3,1909.5,6.25,0.733,-1.2603432168127735,-1.382114103073856,-0.770961057812137,-0.9552462524143086,-0.9806673279060941,0.5382155886992521,-0.6771769969665914,-0.7714029475057864,-0.033873753245784205,2.5602443726803825,-0.11113562411687615,1.3417185427289682,1
Lenovo,Professional,AMD,Intel,RTX 3060,6,1.83,8,256,1439,2200,3639,2394.91,1.52,15.1,606.5,3.12,0.605,-0.42414504203215747,-0.7803541610894547,-0.770961057812137,-0.7717126370392299,-0.77342617236157,-0.12712781331217615,-0.7583253320307914,-0.9204068684388117,0.22115107957799826,-0.5342963382829023,-0.39826547727153744,0.6698518509466764,1
Lenovo,Professional,AMD,AMD,RTX 3050,6,1.24,4,1024,2664,1500,4164,2800.0,1.49,15.4,694.0,0.39,0.36,-0.42414504203215747,-1.4631202491102178,-0.9549434118944388,0.3294890552112423,-0.16897280202337464,-0.9033617823255091,-0.5216426880935414,-0.5835765206109147,0.029882454960161415,-0.3264894985213618,-0.6487014194799162,-0.6161429887928666,1
Lenovo,Professional,Apple,Intel,RX 6700,4,2.25,8,2048,892,2800,3692,2707.69,1.36,16.3,923.0,0.39,0.758,-0.8422441294224655,-0.29431728487128445,-0.770961057812137,1.797757978211872,-1.0433331058921764,0.5382155886992521,-0.7344316555952214,-0.6603318327835014,-0.7989482517171302,0.21737068782598457,-0.6487014194799162,1.4729425059676973,1
Dell,Professional,Apple,AMD,RX 6600,12,1.62,64,256,2688,2000,4688,3158.33,1.48,16.4,390.7,25.0,0.427,0.8301522201387667,-1.0233725991985396,1.8047918993400889,-0.7717126370392299,-0.15713045027797326,-0.3489089473159856,-0.2854108682399815,-0.285626883401479,-0.033873753245784205,-1.0468073785176506,1.6088914514901205,-0.26446276731307317,0
Asus,Professional,Apple,NVIDIA,RTX 3080,2,3.42,64,2048,984,3800,4784,3791.73,1.26,12.5,2392.0,3.12,0.794,-1.2603432168127735,1.0596425845936184,1.8047918993400889,1.797757978211872,-0.9979374242014711,1.6471212587182993,-0.24213175620574154,0.24104210944996127,-1.4365103337765863,3.7061506605083068,-0.39826547727153744,1.661905013031467,1
MSI,Professional,Apple,Intel,Iris Xe,12,3.75,32,128,3540,900,4440,2720.97,1.63,15.1,370.0,25.0,0.203,0.8301522201387667,1.4415287016221807,0.3329330666816741,-0.9552462524143086,0.26327303668377566,-1.5687051843369375,-0.39721524099510147,-0.6492895779286435,0.9224693698433987,-1.0959685394669523,1.6088914514901205,-1.4402294779320837,0
Dell,Professional,Intel,AMD,RTX 3080,4,1.92,16,1024,824,3800,4624,3328.63,1.39,17.1,1156.0,1.56,0.822,-0.8422441294224655,-0.6762034018998468,-0.4029963496475333,0.3294890552112423,-1.0768864358374803,1.6471212587182993,-0.3142636095961415,-0.1440232688094355,-0.6076796270992948,0.7707306154195728,-0.5413717299620395,1.8088758518588428,1
Lenovo,Professional,Apple,Intel,RTX 3060,8,2.33,32,128,2392,2200,4592,3131.81,1.47,15.3,574.0,25.0,0.479,-0.006045954641849409,-0.20173883225829958,0.3329330666816741,-0.9552462524143086,-0.30318612180459026,-0.12712781331217615,-0.3286899802742215,-0.3076781333074155,-0.09762996145172982,-0.6114817359086174,1.6088914514901205,0.008483076223482863,1
Dell,Professional,AMD,NVIDIA,RX 6700,6,2.62,16,1024,1698,2800,4498,3209.51,1.4,17.5,749.7,1.56,0.622,-0.42414504203215747,0.1338580584637704,-0.4029963496475333,0.3294890552112423,-0.6456274597757801,0.5382155886992521,-0.3710674441410815,-0.24307096446536144,-0.5439234188933492,-0.1942056016674438,-0.5413717299620395,0.7590841459490121,1
Acer,Professional,Apple,Intel,RTX 3060,4,2.64,32,2048,1448,2200,3648,2771.91,1.32,15.4,912.0,1.56,0.603,-0.8422441294224655,0.15700267161701661,0.3329330666816741,1.797757978211872,-0.7689852904570444,-0.12712781331217615,-0.7542679152775814,-0.6069332178152043,-1.0539730845409128,0.19124639939881946,-0.5413717299620395,0.6593539338875781,1
Apple,Professional,AMD,NVIDIA,RTX 3070,2,3.36,16,256,642,3000,3642,2661.26,1.37,14.3,1821.0,6.25,0.824,-1.2603432168127735,0.9902087451338796,-0.4029963496475333,-0.7717126370392299,-1.1666909365734408,0.7599967227030615,-0.7569728597797214,-0.69893815002078,-0.7351920435111846,2.3500625976072813,-0.11113562411687615,1.8193737689179412,1
HP,Professional,Intel,AMD,RTX 3060,4,3.52,4,512,1552,2200,3752,2537.1,1.48,14.3,938.0,0.78,0.586,-0.8422441294224655,1.1753656503598495,-0.9549434118944388,-0.4046454062890725,-0.7176684328936385,-0.12712781331217615,-0.7073822105738214,-0.8021765809529476,-0.033873753245784205,0.2529947174993915,-0.6129248563072905,0.5701216388852424,1
Apple,Professional,Apple,Intel,RX 6600,6,3.5,16,512,2646,2000,4646,2924.62,1.59,15.4,774.3,3.12,0.43,-0.42414504203215747,1.1522210372066033,-0.4029963496475333,-0.4046454062890725,-0.17785456583242568,-0.3489089473159856,-0.3043454797549615,-0.4799556019352809,0.6674445370196176,-0.13578219300305658,-0.39826547727153744,-0.24871589172442568,1
Acer,Professional,Apple,AMD,RTX 3060,4,1.37,16,512,1472,2200,3672,2471.65,1.49,16.1,918.0,3.12,0.599,-0.8422441294224655,-1.3126802636141173,-0.4029963496475333,-0.4046454062890725,-0.7571429387116431,-0.12712781331217615,-0.7434481372690214,-0.8565979348874703,0.029882454960161415,0.20549601126818226,-0.39826547727153744,0.6383580997693814,1
Asus,Professional,AMD,NVIDIA,Iris Xe,8,1.35,32,512,3072,900,3972,2471.85,1.61,16.1,496.5,6.25,0.227,-0.006045954641849409,-1.3358248767673635,0.3329330666816741,-0.4046454062890725,0.0323471776484488,-1.5687051843369375,-0.6082009121620214,-0.856431635868572,0.7949569534315089,-0.7955392225545534,-0.11113562411687615,-1.3142544732229042,0
Dell,Professional,Intel,AMD,RX 6600,12,1.73,32,128,2568,2000,4568,2977.1,1.53,15.1,380.7,25.0,0.438,0.8301522201387667,-0.8960772268556858,0.3329330666816741,-0.9552462524143086,-0.21634220900498013,-0.3489089473159856,-0.3395097582827815,-0.43631873937632354,0.2849072877839439,-1.0705567316332552,1.6088914514901205,-0.2067242234880324,0
Asus,Professional,AMD,AMD,RTX 3050,8,2.71,64,2048,2400,1500,3900,2922.35,1.33,14.4,487.5,3.12,0.385,-0.006045954641849409,0.23800881765337814,1.8047918993400889,1.797757978211872,-0.2992386712227898,-0.9033617823255091,-0.6406602461877015,-0.48184309579977846,-0.990216876334967,-0.8169136403585976,-0.39826547727153744,-0.4849190255541376,1
Asus,Professional,AMD,NVIDIA,RX 6700,4,2.62,16,1024,1112,2800,3912,2972.03,1.32,15.8,978.0,1.56,0.716,-0.8422441294224655,0.1338580584637704,-0.4029963496475333,0.3294890552112423,-0.9347782148926638,0.5382155886992521,-0.6352503571834214,-0.4405344195053994,-1.0539730845409128,0.3479921299618101,-0.5413717299620395,1.2524862477266325,1
Asus,Professional,Apple,NVIDIA,RTX 3070,6,1.52,8,1024,1770,3000,4770,3328.66,1.43,15.5,795.0,0.78,0.629,-0.42414504203215747,-1.1390956649647708,-0.770961057812137,0.3294890552112423,-0.610100404539576,0.7599967227030615,-0.24844329337740154,-0.14399832395660095,-0.3526547942755123,-0.08662103205375486,-0.6129248563072905,0.7958268556558562,1
MSI,Professional,Apple,AMD,RX 6600,6,2.23,32,512,2058,2000,4058,2709.28,1.5,16.3,676.3,6.25,0.493,-0.42414504203215747,-0.3174618980245307,0.3329330666816741,-0.4046454062890725,-0.4679921835947594,-0.3489089473159856,-0.5694300409646814,-0.6590097555832585,0.09363866316610703,-0.3685258535359821,-0.11113562411687615,0.0819684956371711,1
MSI,Professional,Apple,NVIDIA,RTX 3080,2,1.84,4,512,542,3800,4342,3201.03,1.36,16.0,2171.0,0.78,0.875,-1.2603432168127735,-0.7687818545128315,-0.9549434118944388,-0.4046454062890725,-1.2160340688459466,1.6471212587182993,-0.44139600119672145,-0.2501220428666564,-0.7989482517171302,3.181289956653444,-0.6129248563072905,2.087070653924948,1
HP,Professional,Apple,NVIDIA,RTX 3070,8,2.89,8,1024,1816,3000,4816,3342.81,1.44,15.7,602.0,0.78,0.623,-0.006045954641849409,0.4463103360325942,-0.770961057812137,0.3294890552112423,-0.5874025636942234,0.7599967227030615,-0.22770538552766154,-0.13223266836953443,-0.2888985860695667,-0.5449835471849245,-0.6129248563072905,0.7643331044785613,1
Dell,Professional,Intel,NVIDIA,RX 6600,6,2.01,16,2048,2868,2000,4868,3228.48,1.51,15.5,811.3,0.78,0.411,-0.42414504203215747,-0.5720526427102391,-0.4029963496475333,1.797757978211872,-0.06831281218746292,-0.3489089473159856,-0.20426253317578152,-0.22729750252284217,0.15739487137205266,-0.0479095864753194,-0.6129248563072905,-0.3484461037858597,1
Apple,Professional,Intel,Intel,RTX 3070,2,1.8,4,128,1022,3000,4022,2787.25,1.44,15.0,2011.0,3.12,0.746,-1.2603432168127735,-0.815071080819324,-0.9549434118944388,-0.9552462524143086,-0.979187033937919,0.7599967227030615,-0.5856597079775214,-0.5941780830656919,-0.2888985860695667,2.80130030680377,-0.39826547727153744,1.4099550036131074,1
MSI,Professional,Apple,AMD,RTX 3070,8,2.42,32,1024,1632,3000,4632,3313.94,1.4,15.3,579.0,3.12,0.648,-0.006045954641849409,-0.09758807306869183,0.3329330666816741,0.3294890552112423,-0.6781939270756339,0.7599967227030615,-0.3106570169266215,-0.15623793174752784,-0.5439234188933492,-0.5996070593508152,-0.39826547727153744,0.8955570677172903,1
MSI,Professional,Apple,AMD,RX 6600,4,3.82,4,128,2012,2000,4012,2702.12,1.48,16.1,1003.0,3.12,0.499,-0.8422441294224655,1.5225348476585423,-0.9549434118944388,-0.9552462524143086,-0.49069002444011206,-0.3489089473159856,-0.5901679488144215,-0.6649632604598238,-0.033873753245784205,0.4073655127508217,-0.39826547727153744,0.11346224681446605,1
Apple,Professional,Apple,Intel,RTX 3070,6,3.44,64,128,1344,3000,4344,3287.06,1.32,16.4,724.0,50.0,0.691,-0.42414504203215747,1.0827871977468646,1.8047918993400889,-0.9552462524143086,-0.8203021480204504,0.7599967227030615,-0.4404943530293415,-0.17858851988748167,-1.0539730845409128,-0.25524143917454784,3.9022608856327827,1.1212622844879034,1
Dell,Professional,Intel,Intel,RX 6600,8,3.48,8,1024,1920,2000,3920,2679.18,1.46,15.4,490.0,0.78,0.51,-0.006045954641849409,1.129076424053357,-0.770961057812137,0.3294890552112423,-0.5360857061308174,-0.3489089473159856,-0.6316437645139015,-0.6840377579274778,-0.16138616965767544,-0.8109763020796965,-0.6129248563072905,0.1712007906395068,1
Acer,Professional,Intel,AMD,RTX 3070,4,3.49,64,1024,1344,3000,4344,3298.31,1.32,14.6,1086.0,6.25,0.691,-0.8422441294224655,1.1406487306299804,1.8047918993400889,0.3294890552112423,-0.8203021480204504,0.7599967227030615,-0.4404943530293415,-0.169234200074443,-1.0539730845409128,0.6044851436103402,-0.11113562411687615,1.1212622844879034,1
MSI,Professional,Intel,Intel,RTX 3080,2,3.69,16,256,570,3800,4370,3124.55,1.4,15.1,2185.0,6.25,0.87,-1.2603432168127735,1.372094862162442,-0.4029963496475333,-0.7717126370392299,-1.202217991809645,1.6471212587182993,-0.42877292685340146,-0.31371478769342964,-0.5439234188933492,3.2145390510152905,-0.11113562411687615,2.0608258612772024,1
Lenovo,Professional,AMD,NVIDIA,RX 6700,4,2.09,16,2048,1011,2800,3811,2997.13,1.27,14.0,952.8,0.78,0.735,-0.8422441294224655,-0.4794741900972542,-0.4029963496475333,1.797757978211872,-0.9846147784878946,0.5382155886992521,-0.6807835896361114,-0.41966389263364207,-1.3727541255706408,0.2881437601104863,-0.6129248563072905,1.3522164597880666,1
Dell,Professional,AMD,AMD,RX 6600,6,3.56,8,128,2886,2000,4886,3000.06,1.63,15.0,814.3,6.25,0.409,-0.42414504203215747,1.2216548766663418,-0.770961057812137,-0.9552462524143086,-0.059431048378411885,-0.3489089473159856,-0.19614769966936155,-0.41722761200677966,0.9224693698433987,-0.040784780540638006,-0.11113562411687615,-0.358944020844958,1
