Brand,Usage_Type,CPU_Brand,CPU_Cores,CPU_Frequency_GHz,GPU_Brand,GPU_Model,RAM_GB,Storage_GB,Screen_Size,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio,Perf_Per_Core,RAM_Storage_Ratio,GPU_Weight,CPU_Cores_scaled,CPU_Frequency_GHz_scaled,RAM_GB_scaled,Storage_GB_scaled,CPU_Performance_Score_scaled,GPU_Performance_Score_scaled,Overall_Performance_Score_scaled,Price_USD_scaled,Price_Performance_Ratio_scaled,Perf_Per_Core_scaled,RAM_Storage_Ratio_scaled,GPU_Weight_scaled
Acer,Student,Intel,6,2.5,AMD,AMD Radeon,8,256.0,16.0,1479,1307,1376,568,2.42,229.3,3.12,0.469,-0.12600107633916122,-0.6551891018140406,-0.6911193813549762,-0.7032204076667893,-0.4285706379485192,-0.4513129889268214,-0.4665620565667534,-0.6559168644758805,0.19582854050459877,-0.535028123277211,0.003681258028163031,-0.1393129743766146
Dell,Student,Intel,6,2.6,Intel,Intel UHD,16,256.0,15.6,1588,1214,1364,655,2.08,227.3,6.25,0.433,-0.12600107633916122,-0.5444708488301084,0.14174271864348867,-0.7032204076667893,-0.3654013422324639,-0.47589339587709595,-0.4708031237742782,-0.5628136827831722,-0.07255138098102089,-0.5436815412455897,1.9157057555432102,-0.3934612658110636
ASUS,Gaming,Intel,8,4.8,NVIDIA,NVIDIA GeForce,32,512.0,14.0,3868,10395,7784,1549,5.03,973.0,6.25,0.729,0.43744700119761293,1.8913307168163962,1.8074669186404184,-0.08871868605736126,0.9559380543969491,1.9506949504720503,1.7981678322514716,0.3939017704729332,2.2560391142618568,2.682745348264391,1.9157057555432102,1.6962024637610738
Dell,Professional,AMD,8,3.4,NVIDIA,NVIDIA RTX,16,512.0,17.3,2754,3777,3368,1308,2.57,421.0,3.12,0.578,0.43744700119761293,0.3412751750413477,0.14174271864348867,-0.08871868605736126,0.31033626148240256,0.20152147523638428,0.23745509988235772,0.13599525566899423,0.3142314470423721,0.2944019889918828,0.003681258028163031,0.6301915746888008
ASUS,Gaming,Intel,12,5.0,NVIDIA,NVIDIA RTX,16,1024.0,13.3,5959,10820,8875,1355,6.55,739.6,1.56,0.645,1.5643431562711612,2.11276722278426,0.14174271864348867,1.1402847571614947,2.1677453694636606,2.063024767180294,2.1837515258689315,0.18629237681333086,3.455855233844627,1.6728914713546024,-0.9492766384969085,1.1031897837473594
Dell,Student,Intel,6,2.2,AMD,AMD Radeon,8,256.0,13.3,1319,1479,1415,444,3.19,235.8,3.12,0.529,-0.12600107633916122,-0.9873438607658365,-0.6911193813549762,-0.7032204076667893,-0.5212962096418113,-0.4058524513413674,-0.45277858814229793,-0.7886156521758324,0.8036301273985024,-0.5069045148799805,0.003681258028163031,0.2842675113474677
Dell,Student,Intel,4,2.4,Intel,Intel UHD,8,512.0,16.0,942,1238,1120,901,1.24,280.0,1.56,0.568,-0.6894491538759353,-0.7659073547979727,-0.6911193813549762,-0.08871868605736126,-0.7397808379441309,-0.46955006505121866,-0.5570381569939484,-0.29955641041068687,-0.7356076575925522,-0.3156639777788122,-0.9492766384969085,0.5595948270681205
HP,Gaming,Intel,16,3.9,AMD,AMD Radeon,32,1024.0,16.0,6229,13059,10327,2255,4.58,645.4,3.12,0.677,2.6912393113447095,0.8948664399610079,1.8074669186404184,1.1402847571614947,2.3242197716960913,2.6548046721444307,2.6969206579794283,1.149428739151692,1.9008303946485363,1.2653154850439676,0.003681258028163031,1.3290993761335366
Dell,Professional,Intel,8,3.7,NVIDIA,NVIDIA GeForce,32,512.0,16.0,2996,3539,3321,1780,1.87,415.1,6.25,0.542,0.43744700119761293,0.6734299339931441,1.8074669186404184,-0.08871868605736126,0.45058368866850695,0.1386167778797677,0.22084425331955237,0.6411067701397791,-0.23831545013390368,0.2688744059851659,1.9157057555432102,0.3760432832543522
MSI,Professional,AMD,12,2.6,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,3076,3283,3200,2036,1.57,266.7,1.56,0.516,1.5643431562711612,-0.5444708488301084,0.14174271864348867,1.1402847571614947,0.496946474515153,0.07095458240374314,0.178080158977011,0.9150655576493575,-0.4751212632094506,-0.3732092072685303,-0.9492766384969085,0.1924917394405832
Dell,Basic,Intel,4,1.8,AMD,AMD Radeon,4,128.0,16.0,709,617,654,368,1.78,163.5,3.12,0.465,-0.6894491538759353,-1.4302168727015647,-1.1075504313542086,-1.0104712684715034,-0.8748124517224876,-0.6336837501707938,-0.7217329335528269,-0.8699471672177385,-0.3093571940565678,-0.8197255744368688,0.003681258028163031,-0.16755167342488636
Dell,Professional,AMD,12,3.9,AMD,AMD Radeon,16,512.0,15.6,4686,2401,3315,1624,2.04,276.2,3.12,0.339,1.5643431562711612,0.8948664399610079,0.14174271864348867,-0.08871868605736126,1.429997539678905,-0.16216282544724772,0.21872371971579,0.4741631340011299,-0.10412548939109384,-0.3321054719187317,0.003681258028163031,-1.0570706934454583
Apple,Student,Intel,4,2.1,Intel,Intel Iris Xe,8,256.0,15.6,859,873,867,569,1.52,216.8,3.12,0.504,-0.6894491538759353,-1.0980621137497686,-0.6911193813549762,-0.7032204076667893,-0.7878822282600262,-0.5660215546947693,-0.6464539906192622,-0.6548467129621711,-0.5145888987220417,-0.5891119855795776,0.003681258028163031,0.10777564229576674
Lenovo,Basic,Intel,4,2.0,AMD,AMD Radeon,4,128.0,17.3,808,693,739,342,2.16,184.8,3.12,0.462,-0.6894491538759353,-1.2087803667337007,-1.1075504313542086,-1.0104712684715034,-0.817438504237263,-0.6135965358888491,-0.6916920408328597,-0.89777110657418,-0.00940316416087501,-0.7275666730736361,0.003681258028163031,-0.1887306977110905
Lenovo,Gaming,AMD,12,5.5,NVIDIA,NVIDIA RTX,32,2048.0,14.0,6579,8277,7597,1438,5.28,633.1,1.56,0.557,1.5643431562711612,2.6663584877039206,1.8074669186404184,3.598291643599207,2.5270569597751678,1.3908960050883783,1.732077868267544,0.27511495245120193,2.4533772918248125,1.212096964538439,-0.9492766384969085,0.4819384046853728
Lenovo,Student,Intel,6,3.5,AMD,AMD Radeon,8,512.0,16.0,2091,532,1155,489,2.36,192.5,1.56,0.203,-0.12600107633916122,0.4519934280252798,-0.6911193813549762,-0.08871868605736126,-0.07389532622167673,-0.6561497135124427,-0.5446683776386679,-0.7404588340589143,0.14846737788948935,-0.6942510138953782,-0.9492766384969085,-2.0171864610867107
Apple,Professional,Intel,8,3.4,NVIDIA,NVIDIA GeForce,32,512.0,16.0,2687,2912,2822,937,3.01,352.8,6.25,0.52,0.43744700119761293,0.3412751750413477,1.8074669186404184,-0.08871868605736126,0.27150742833583646,-0.02710273994627682,0.04448654193998086,-0.2610309559171524,0.6615466395531742,-0.0006795637298292144,1.9157057555432102,0.22073043848885535
ASUS,Student,Intel,4,2.2,Intel,Intel Iris Xe,8,512.0,13.3,888,525,670,494,1.36,167.5,1.56,0.372,-0.6894491538759353,-0.9873438607658365,-0.6911193813549762,-0.08871868605736126,-0.7710757183906171,-0.6579998516699902,-0.7160781772761272,-0.7351080764903679,-0.6408853323623334,-0.8024187385001115,-0.9492766384969085,-0.8241014262972136
Lenovo,Gaming,AMD,8,5.4,AMD,AMD Radeon,32,512.0,15.6,4341,5341,4941,1512,3.27,617.6,6.25,0.552,0.43744700119761293,2.555640234719989,1.8074669186404184,-0.08871868605736126,1.230058025715244,0.6148952007227219,0.7933883263353958,0.3543061644656894,0.8667783442186483,1.1450329752835045,1.9157057555432102,0.44664003087503257
Lenovo,Student,Intel,4,2.0,Intel,Intel UHD,8,512.0,14.0,819,597,686,703,0.98,171.5,1.56,0.422,-0.6894491538759353,-1.2087803667337007,-0.6911193813549762,-0.08871868605736126,-0.8110636211833493,-0.6389698591923583,-0.7104234209994275,-0.5114464101251263,-0.9408393622580261,-0.7851119025633542,-0.9492766384969085,-0.47111768819381206
Dell,Professional,Intel,8,4.4,NVIDIA,NVIDIA RTX,32,1024.0,17.3,3544,1259,2173,1159,1.87,271.6,3.12,0.262,0.43744700119761293,1.4484577048806686,1.8074669186404184,1.1402847571614947,0.7681687717180326,-0.463999650578576,-0.18488450953365024,-0.023457319873689996,-0.23831545013390368,-0.35200833324600245,0.003681258028163031,-1.600665650124697
ASUS,Student,AMD,4,2.0,Intel,Intel UHD,8,256.0,14.0,816,827,823,540,1.52,205.8,3.12,0.503,-0.6894491538759353,-1.2087803667337007,-0.6911193813549762,-0.7032204076667893,-0.8128022256525985,-0.5781796054443674,-0.6620045703801865,-0.6858811068597406,-0.5145888987220417,-0.6367057844056602,0.003681258028163031,0.1007159675336987
Dell,Professional,Intel,8,3.3,NVIDIA,NVIDIA GeForce,32,512.0,15.6,2672,3273,3033,1613,1.88,379.1,6.25,0.551,0.43744700119761293,0.23055692205741557,1.8074669186404184,-0.08871868605736126,0.2628144059895903,0.06831152789296092,0.119058640338958,0.4623914673503277,-0.23042192303138562,0.11311288255435012,1.9157057555432102,0.43958035611296453
Dell,Basic,AMD,4,2.5,AMD,AMD Radeon,4,128.0,16.0,1012,761,861,467,1.84,215.2,3.12,0.429,-0.6894491538759353,-0.6551891018140406,-1.1075504313542086,-1.0104712684715034,-0.6992134003283156,-0.5956237652155301,-0.6485745242230246,-0.7640021673605187,-0.2619960314414584,-0.5960347199542806,0.003681258028163031,-0.42169996485933575
Dell,Basic,Intel,4,2.3,Intel,Intel UHD,4,512.0,13.3,902,379,588,310,1.9,147.0,0.78,0.296,-0.6894491538759353,-0.8766256077819048,-1.1075504313542086,-0.08871868605736126,-0.762962230867454,-0.6965884475274104,-0.745058803194213,-0.9320159550128773,-0.21463486882634913,-0.8911162726759926,-1.4257555867594445,-1.3606367082143842
HP,Student,Intel,4,3.3,Intel,Intel Iris Xe,8,256.0,14.0,1327,549,860,727,1.18,215.0,3.12,0.293,-0.6894491538759353,0.23055692205741557,-0.6911193813549762,-0.7032204076667893,-0.5166599310571467,-0.6516565208441129,-0.6489279464903184,-0.48576277379610333,-0.7829688202076616,-0.5969000617511184,0.003681258028163031,-1.3818157325005882
Dell,Student,AMD,6,2.9,AMD,AMD Radeon,8,256.0,14.0,1739,810,1182,940,1.26,197.0,3.12,0.318,-0.12600107633916122,-0.2123160898783125,-0.6911193813549762,-0.7032204076667893,-0.27789158394691943,-0.5826727981126972,-0.5351259764217372,-0.2578205013760245,-0.7198206033875156,-0.6747808234665263,0.003681258028163031,-1.2053238634488872
Dell,Student,AMD,6,2.2,AMD,AMD Radeon,8,512.0,15.6,1311,1324,1319,741,1.78,219.8,1.56,0.502,-0.12600107633916122,-0.9873438607658365,-0.6911193813549762,-0.08871868605736126,-0.5259324882264759,-0.44681979625849166,-0.4867071258024961,-0.4707806526041733,-0.3093571940565678,-0.5761318586270097,-0.9492766384969085,0.09365629277163066
MSI,Professional,Intel,8,2.7,AMD,AMD Radeon,32,1024.0,15.6,2162,3270,2827,2225,1.27,353.4,3.12,0.602,0.43744700119761293,-0.43375259584617626,1.8074669186404184,1.1402847571614947,-0.03274835378277834,0.06751861153972627,0.046253653276449515,1.1173241937404133,-0.7119270762849974,0.0019164616606842338,0.003681258028163031,0.7996237689784337
Lenovo,Basic,AMD,2,2.1,AMD,AMD Radeon,8,256.0,16.0,417,421,420,419,1.0,210.0,3.12,0.502,-1.2528972314127096,-1.0980621137497686,-0.6911193813549762,-0.7032204076667893,-1.0440366200627458,-0.6854876185821251,-0.8044337440995598,-0.8153694400185647,-0.9250523080529897,-0.618533606672065,0.003681258028163031,0.09365629277163066
Lenovo,Gaming,Intel,8,3.4,AMD,AMD Radeon,32,1024.0,15.6,2757,12127,8379,3654,2.29,1047.4,3.12,0.815,0.43744700119761293,0.3412751750413477,1.8074669186404184,1.1402847571614947,0.3120748659516518,2.4084719917395288,2.0084540812912413,2.646570706830989,0.09321268817186187,3.0046524966880774,0.003681258028163031,2.3033344932989244
HP,Student,Intel,6,3.2,Intel,Intel Iris Xe,16,512.0,16.0,1930,1213,1500,836,1.79,250.0,3.12,0.386,-0.12600107633916122,0.11983866907348392,0.14174271864348867,-0.08871868605736126,-0.16720043273805194,-0.4761577013281742,-0.42273769542233086,-0.3691162588017907,-0.3014636669540495,-0.445465247304492,0.003681258028163031,-0.725265979628261
ASUS,Basic,Intel,2,2.4,Intel,Intel UHD,4,256.0,15.6,489,422,449,254,1.77,224.5,1.56,0.463,-1.2528972314127096,-0.7659073547979727,-1.1075504313542086,-0.7032204076667893,-1.0023101128007643,-0.6852233131310469,-0.7941844983480416,-0.9919444397805975,-0.31725072115908604,-0.5557963264013198,-0.9492766384969085,-0.18167102294902246
MSI,Professional,AMD,12,2.7,AMD,AMD Radeon,16,1024.0,17.3,3242,3595,3454,1785,1.94,287.8,1.56,0.526,1.5643431562711612,-0.43375259584617626,0.14174271864348867,1.1402847571614947,0.5931492551469436,0.15341788314014806,0.26784941486961855,0.6464575277083257,-0.1830607604162762,-0.28191564770213545,-0.9492766384969085,0.2630884870612636
Lenovo,Basic,Intel,2,1.9,Intel,Intel Iris Xe,4,256.0,17.3,385,542,479,388,1.23,239.5,1.56,0.585,-1.2528972314127096,-1.3194986197176328,-1.1075504313542086,-0.7032204076667893,-1.0625817344014041,-0.6535066590016604,-0.7835818303292297,-0.8485441369435527,-0.7435011846950704,-0.49089569163847996,-0.9492766384969085,0.6796092980232771
Dell,Student,Intel,4,3.2,AMD,AMD Radeon,16,512.0,14.0,1296,798,997,915,1.09,249.2,3.12,0.381,-0.6894491538759353,0.11983866907348392,0.14174271864348867,-0.08871868605736126,-0.534625510572722,-0.5858444635256359,-0.6005090958710773,-0.28457428921875677,-0.8540105641303255,-0.4489266144918435,0.003681258028163031,-0.7605643534386012
HP,Basic,Intel,4,1.6,Intel,Intel UHD,8,128.0,15.6,652,594,617,271,2.28,154.2,6.25,0.477,-0.6894491538759353,-1.6516533786694287,-0.6911193813549762,-1.0104712684715034,-0.9078459366382229,-0.6397627755455929,-0.7348095574426949,-0.9737518640475397,0.08531916106934347,-0.8599639679898295,1.9157057555432102,-0.08283557628007031
Dell,Student,Intel,6,2.1,Intel,Intel UHD,8,256.0,17.3,1261,1453,1376,397,3.47,229.3,3.12,0.535,-0.12600107633916122,-1.0980621137497686,-0.6911193813549762,-0.7032204076667893,-0.5549092293806297,-0.4127243930694012,-0.4665620565667534,-0.8389127733201691,1.024648886269013,-0.535028123277211,0.003681258028163031,0.3266255599198759
MSI,Student,AMD,4,2.0,AMD,AMD Radeon,16,256.0,15.6,815,1334,1127,633,1.78,281.8,6.25,0.621,-0.6894491538759353,-1.2087803667337007,0.14174271864348867,-0.7032204076667893,-0.8133817604756816,-0.44417674174770944,-0.5545642011228923,-0.5863570160847766,-0.3093571940565678,-0.3078759016072714,1.9157057555432102,0.9337575894577265
ASUS,Professional,AMD,6,3.1,NVIDIA,NVIDIA GeForce,32,512.0,14.0,1864,2688,2359,1208,1.95,393.2,6.25,0.591,-0.12600107633916122,0.00912041608955178,1.8074669186404184,-0.08871868605736126,-0.20544973106153494,-0.08630716098779831,-0.11914796781701636,0.02898010429806522,-0.17516723331375797,0.17411947923141946,1.9157057555432102,0.7219673465956853
HP,Professional,Intel,8,3.8,NVIDIA,NVIDIA GeForce,16,512.0,15.6,3042,1394,2053,1512,1.36,256.6,3.12,0.314,0.43744700119761293,0.7841481869770758,0.14174271864348867,-0.08871868605736126,0.4772422905303284,-0.4283184146830162,-0.2272951816088979,0.3543061644656894,-0.6408853323623334,-0.41690896800884236,0.003681258028163031,-1.2335625624971593
Lenovo,Professional,AMD,8,3.5,NVIDIA,NVIDIA RTX,32,1024.0,13.3,2764,3918,3456,1862,1.86,432.0,3.12,0.586,0.43744700119761293,0.4519934280252798,1.8074669186404184,1.1402847571614947,0.31613160971323334,0.23878854383841341,0.268556259404206,0.728859194263941,-0.2462089772364219,0.34199578781796536,0.003681258028163031,0.6866689727853451
HP,Professional,AMD,6,3.0,NVIDIA,NVIDIA RTX,16,512.0,15.6,1807,1050,1353,1409,0.96,225.5,3.12,0.368,-0.12600107633916122,-0.10159783689438036,0.14174271864348867,-0.08871868605736126,-0.2384832159772703,-0.5192394898539242,-0.47469076871450927,0.24408055855363253,-0.9566264164630626,-0.5514696174171305,0.003681258028163031,-0.8523401253454858
HP,Student,AMD,4,2.2,Intel,Intel Iris Xe,8,256.0,14.0,865,1103,1008,863,1.17,252.0,3.12,0.56,-0.6894491538759353,-0.9873438607658365,-0.6911193813549762,-0.7032204076667893,-0.7844050193215277,-0.5052313009467785,-0.5966214509308463,-0.3402221679316399,-0.7908623473101798,-0.43681182933611334,0.003681258028163031,0.5031174289715769
ASUS,Professional,Intel,12,4.5,NVIDIA,NVIDIA RTX,16,1024.0,14.0,5366,3525,4261,1175,3.63,355.1,1.56,0.396,1.5643431562711612,1.5591759578646003,0.14174271864348867,1.1402847571614947,1.8240812193753968,0.1349165015646726,0.553061184575659,-0.006334895654341353,1.1509453199093045,0.009271866933806286,-0.9492766384969085,-0.6546692320075806
HP,Gaming,Intel,8,4.8,AMD,AMD Radeon,32,1024.0,13.3,3860,14469,10226,1546,6.61,1278.2,3.12,0.789,0.43744700119761293,1.8913307168163962,1.8074669186404184,1.1402847571614947,0.9513017758122845,3.0274753581647222,2.6612250089827616,0.3906913159318053,3.5032163964597367,4.003256930238973,0.003681258028163031,2.119782949485156
