Brand,Usage_Type,CPU_Brand,CPU_Cores,CPU_Frequency_GHz,GPU_Brand,GPU_Model,RAM_GB,Storage_GB,Screen_Size,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio
Acer,Student,Intel,6,2.5,AMD,AMD Radeon,8,256.0,16.0,1479,1307,1376,568,2.42
Dell,Student,Intel,6,2.6,Intel,Intel UHD,16,256.0,15.6,1588,1214,1364,655,2.08
ASUS,Gaming,Intel,8,4.8,NVIDIA,NVIDIA GeForce,32,512.0,14.0,3868,10395,7784,1549,5.03
Dell,Professional,AMD,8,3.4,NVIDIA,NVIDIA RTX,16,512.0,17.3,2754,3777,3368,1308,2.57
ASUS,Gaming,Intel,12,5.0,NVIDIA,NVIDIA RTX,16,1024.0,13.3,5959,10820,8875,1355,6.55
Dell,Student,Intel,6,2.2,AMD,AMD Radeon,8,256.0,13.3,1319,1479,1415,444,3.19
Dell,Student,Intel,4,2.4,Intel,Intel UHD,8,512.0,16.0,942,1238,1120,901,1.24
HP,Gaming,Intel,16,3.9,AMD,AMD Radeon,32,1024.0,16.0,6229,13059,10327,2255,4.58
Dell,Professional,Intel,8,3.7,NVIDIA,NVIDIA GeForce,32,512.0,16.0,2996,3539,3321,1780,1.87
MSI,Professional,AMD,12,2.6,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,3076,3283,3200,2036,1.57
Dell,Basic,Intel,4,1.8,AMD,AMD Radeon,4,128.0,16.0,709,617,654,368,1.78
Dell,Professional,AMD,12,3.9,AMD,AMD Radeon,16,512.0,15.6,4686,2401,3315,1624,2.04
Apple,Student,Intel,4,2.1,Intel,Intel Iris Xe,8,256.0,15.6,859,873,867,569,1.52
Lenovo,Basic,Intel,4,2.0,AMD,AMD Radeon,4,128.0,17.3,808,693,739,342,2.16
Lenovo,Gaming,AMD,12,5.5,NVIDIA,NVIDIA RTX,32,2048.0,14.0,6579,8277,7597,1438,5.28
Lenovo,Student,Intel,6,3.5,AMD,AMD Radeon,8,512.0,16.0,2091,532,1155,489,2.36
Apple,Professional,Intel,8,3.4,NVIDIA,NVIDIA GeForce,32,512.0,16.0,2687,2912,2822,937,3.01
ASUS,Student,Intel,4,2.2,Intel,Intel Iris Xe,8,512.0,13.3,888,525,670,494,1.36
Lenovo,Gaming,AMD,8,5.4,AMD,AMD Radeon,32,512.0,15.6,4341,5341,4941,1512,3.27
Lenovo,Student,Intel,4,2.0,Intel,Intel UHD,8,512.0,14.0,819,597,686,703,0.98
Dell,Professional,Intel,8,4.4,NVIDIA,NVIDIA RTX,32,1024.0,17.3,3544,1259,2173,1159,1.87
ASUS,Student,AMD,4,2.0,Intel,Intel UHD,8,256.0,14.0,816,827,823,540,1.52
Dell,Professional,Intel,8,3.3,NVIDIA,NVIDIA GeForce,32,512.0,15.6,2672,3273,3033,1613,1.88
Dell,Basic,AMD,4,2.5,AMD,AMD Radeon,4,128.0,16.0,1012,761,861,467,1.84
Dell,Basic,Intel,4,2.3,Intel,Intel UHD,4,512.0,13.3,902,379,588,310,1.9
